,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
1,http://www.wikidata.org/entity/Q3292044,Marie-Louise-Françoise de Pont-Wullyamoz,1751,female,Switzerland,Europe,"historian, novelist, poet, writer",literature
2,http://www.wikidata.org/entity/Q352725,Richard Brinsley Sheridan,1751,male,Kingdom of Ireland,Europe,"dramaturge, playwright, poet, politician, writer","literature, politics, theatre"
4,http://www.wikidata.org/entity/Q45278,Johann Michael Sailer,1751,male,Kingdom of Bavaria,Europe,"Catholic bishop, Catholic priest, theologian, translator, university teacher, writer","Christian Church, educational system, literature, theology, translation"
5,http://www.wikidata.org/entity/Q999920,Joseph Lange,1751,male,Kingdom of Bavaria,Europe,"actor, composer, conductor, painter, stage actor, writer","acting, art of painting, composed musical work, conducting, literature, music composing, music composition, theatre"
7,http://www.wikidata.org/entity/Q116291,Pierre Prevost,1751,male,Republic of Geneva,Europe,"philosopher, physicist, university teacher",physics
8,http://www.wikidata.org/entity/Q1445906,François-Rodolphe de Weiss,1751,male,Switzerland,Europe,"diplomat, military officer, philosopher, politician, writer","creative and professional writing, military service, philosophy, politics"
9,http://www.wikidata.org/entity/Q44922,Judith Sargent Murray,1751,female,United States,North America,"essayist, historian, philosopher, playwright, poet, writer","essay, poetry"
10,http://www.wikidata.org/entity/Q3386017,Louis Pierre Manuel,1751,male,France,Europe,"historian, politician, writer","literature, politics"
11,http://www.wikidata.org/entity/Q2670536,Niels Treschow,1751,male,Norway,Europe,"philosopher, politician, professor, psychologist",philosophy
14,http://www.wikidata.org/entity/Q259530,Frances Burney,1752,female,Kingdom of Great Britain,Europe,"essayist, novelist, playwright, writer",essay
19,http://www.wikidata.org/entity/Q4063333,Utız İmäni,1752,male,Russia,Europe,"poet, theologian",philosophy
24,http://www.wikidata.org/entity/Q1780175,Wilhelm Christian Müller,1752,male,Germany,Europe,"pedagogue, writer","literature, pedagogy"
27,http://www.wikidata.org/entity/Q67274,Karl von Eckartshausen,1752,male,Germany,Europe,"jurist, mystic, philosopher, writer","Christian mysticism, esotericism"
31,http://www.wikidata.org/entity/Q3388279,Pigault-Lebrun,1753,male,France,Europe,"actor, novelist, playwright, writer","acting, literature"
32,http://www.wikidata.org/entity/Q214593,August Gottlieb Meißner,1753,male,Electorate of Saxony,Europe,"aesthetician, bookseller, dramaturge, philosopher, translator, university teacher, writer","bookselling, literary activity, philosophy, university lecture"
33,http://www.wikidata.org/entity/Q1381920,Mathieu Dumas,1753,male,France,Europe,"historian, military historian, military officer, military personnel, politician, translator, writer","history, literature, military affairs, politics"
36,http://www.wikidata.org/entity/Q2476459,Ulrich Petrak,1753,male,Austria,Europe,"composer, writer","Christian Church, literature, theology"
39,http://www.wikidata.org/entity/Q97550,Jean Marie Rodolph Eickemayer,1753,male,Grand Duchy of Hesse,Europe,"engineer, mathematician, military engineer, military officer, military personnel, philosopher, politician, university teacher, writer","fortification, mathematics, military affairs, military building, philosophy, politics"
40,http://www.wikidata.org/entity/Q1236766,Ippolito Pindemonte,1753,male,Republic of Venice,Europe,"linguist, playwright, poet, translator, writer","drama, literature, poetry, translations from Greek"
42,http://www.wikidata.org/entity/Q459663,Anna Maria Lenngren,1754,female,Sweden,Europe,"poet, translator, writer","literature, poetry"
45,http://www.wikidata.org/entity/Q351691,Antoine Destutt de Tracy,1754,male,France,Europe,"economist, military personnel, philosopher, politician, writer",philosophy
50,http://www.wikidata.org/entity/Q658401,Al-Jabarti,1754,male,Ottoman Empire,Europe,"historian, theologian","fiqh, history, philosophy"
54,http://www.wikidata.org/entity/Q1080928,Christian Ludwig Seebaß,1754,male,Germany,Europe,"philologist, philosopher, romanist, translator, university teacher, writer","Romance studies, freemasonry, mathematics, philology, philosophy, translation from English, translation from French, translation into German"
55,http://www.wikidata.org/entity/Q1504357,Georg Friedrich Werner,1754,male,Germany,Europe,"civil engineer, military officer, naturalist, philosopher, university teacher","Age of Enlightenment, civil engineering studies, fortification, geodesy, military affairs, philosophy"
60,http://www.wikidata.org/entity/Q1611431,Hermann Heimart Cludius,1754,male,Germany,Europe,"Christian minister, philosopher, theologian, translator","philosophy, theology, translation"
62,http://www.wikidata.org/entity/Q265676,Jozef Ignác Bajza,1755,male,Austrian Empire,Europe,"Catholic priest, parson, philologist, poet, priest, writer","administration and management of the church, literature, philology, poetry, prose"
66,http://www.wikidata.org/entity/Q91589,Christian Heinrich Spiess,1755,male,Electorate of Saxony,Europe,"actor, dramaturge, novelist, stage actor, writer","acting, dramaturgy, horror literature, literature, traveling theater"
68,http://www.wikidata.org/entity/Q519044,Quatremère de Quincy,1755,male,France,Europe,"archaeologist, architect, art critic, art historian, historian, philosopher, politician, writer","ancient civilization, archaeology, art criticism, philosophy"
70,http://www.wikidata.org/entity/Q2046293,Elisabeth Maria Post,1755,female,Kingdom of the Netherlands,Europe,"poet, writer","literature, poetry"
74,http://www.wikidata.org/entity/Q2827140,Agricol-Joseph Fortia d'Urban,1756,male,France,Europe,"historian, mathematician, philologist, writer","history, literature, mathematics"
76,http://www.wikidata.org/entity/Q1331219,Elizabeth Hamilton,1756,female,United Kingdom of Great Britain and Ireland,Europe,"essayist, novelist, writer","essay, literature"
77,http://www.wikidata.org/entity/Q188569,William Godwin,1756,male,Kingdom of Great Britain,Europe,"journalist, novelist, philosopher, political philosopher, science fiction writer, writer","philosophical anarchism, political philosophy"
79,http://www.wikidata.org/entity/Q791356,Avram Mrazović,1756,male,Austrian Empire,Europe,"pedagogue, translator, writer","literature, pedagogy, translation"
80,http://www.wikidata.org/entity/Q536339,Jan Śniadecki,1756,male,Polish–Lithuanian Commonwealth,Europe,"astronomer, geographer, mathematician, philosopher, physicist, professor, university teacher","astronomy, geography, linguistics, mathematics, pedagogy, philosophy"
84,http://www.wikidata.org/entity/Q705666,Pierre Jean George Cabanis,1757,male,France,Europe,"mathematician, philosopher, physician, physiologist, politician, writer",philosophy
87,http://www.wikidata.org/entity/Q41513,William Blake,1757,male,Kingdom of Great Britain,Europe,"artist, collector, draftsperson, illustrator, painter, philosopher, poet, printer, printmaker, sculptor, theologian, writer",poetry
88,http://www.wikidata.org/entity/Q826022,Bernhard Stöger,1757,male,Germany,Europe,"parson, pedagogue, philosopher, teacher, theologian, university teacher","Catholicism, metaphysics, oriental languages, philosophy, theology"
92,http://www.wikidata.org/entity/Q1041108,Carl Wilhelm Kolbe,1757,male,Kingdom of Prussia,Europe,"draftsperson, linguist, painter, philologist, printmaker, teacher, writer","graphics, literature, philology, visual arts"
93,http://www.wikidata.org/entity/Q705772,Bengt Lidner,1757,male,Sweden,Europe,"poet, writer","literature, poetry"
99,http://www.wikidata.org/entity/Q214230,Thomas Christian Tychsen,1758,male,Duchy of Schleswig,Europe,"numismatist, orientalist, philosopher, theologian, university teacher, writer","Hebrew, oriental philology"
101,http://www.wikidata.org/entity/Q108878,Ernst Brandes,1758,male,Electorate of Hanover,Europe,"civil servant, journalist, lawyer, philosopher, secondary school teacher, writer","literature, pedagogy, philology, philosophy, state administration"
106,http://www.wikidata.org/entity/Q532255,Mary Darby Robinson,1758,female,Kingdom of Great Britain,Europe,"actor, novelist, poet, writer",poetry
110,http://www.wikidata.org/entity/Q12751555,Emanuilo Janković,1758,male,Serbia,Europe,"linguist, philosopher, playwright, publisher, scientist, translator, writer","drama, literature, natural science, philosophy, publishing, translating activity"
113,http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,1759,female,Kingdom of Great Britain,Europe,"businessperson, essayist, historian, novelist, philosopher, translator, writer","creative and professional writing, essay, gender studies, political activity, women's rights"
115,http://www.wikidata.org/entity/Q545604,Thomas Thorild,1759,male,Sweden,Europe,"literary critic, philosopher, poet, university teacher, writer",Swedish literature
118,http://www.wikidata.org/entity/Q525710,Helen Maria Williams,1759,female,United Kingdom of Great Britain and Ireland,Europe,"novelist, poet, translator, writer",poetry
120,http://www.wikidata.org/entity/Q22670,Friedrich Schiller,1759,male,Duchy of Württemberg,Europe,"aesthetician, historian, journalist, librarian, military physician, novelist, philosopher, physician, playwright, poet, translator, university teacher, writer","history, literature, philosophy, poetry, theatre"
122,http://www.wikidata.org/entity/Q2853756,Antoine Caillot,1759,male,France,Europe,"bookseller, priest, translator, writer","Catholic Church, bookselling, literature, translation"
125,http://www.wikidata.org/entity/Q62512,Johann Peter Hebel,1760,male,Grand Duchy of Baden,Europe,"poet, theologian, university teacher, writer","educational system, literature, theology"
127,http://www.wikidata.org/entity/Q824860,Johann Bernhard Constantin von Schönebeck,1760,male,Germany,Europe,"librarian, philosopher, physician, teacher, writer","library science, medicine, philosophy, school education"
130,http://www.wikidata.org/entity/Q189714,François-Noël Babeuf,1760,male,France,Europe,"politician, writer",philosophy
131,http://www.wikidata.org/entity/Q213687,August Batsch,1761,male,Holy Roman Empire,Europe,"biologist, botanist, chemist, entomologist, naturalist, philosopher, university teacher",mycology
132,http://www.wikidata.org/entity/Q10379377,Jiang Fan,1761,male,Qing dynasty,Asia,"philologist, politician, scholar","Buddhism, Chinese classics, Taoism, literary studies, philology, philosophy"
133,http://www.wikidata.org/entity/Q12792969,Peter Mislej,1761,male,Austrian Empire,Europe,"philosopher, physician, theologian","astronomy, mathematics, medicine, philosophy, theology"
134,http://www.wikidata.org/entity/Q79107,Thaddäus Haenke,1761,male,Austrian Empire,Europe,"botanist, cartographer, ethnographer, explorer, geographer, naturalist, physician, traveler, writer, zoologist","botany, literature, medicine, natural science, travel"
138,http://www.wikidata.org/entity/Q77381,Gottlob Ernst Schulze,1761,male,Saxe-Weimar-Eisenach,Europe,"philosopher, university teacher",philosophy
141,http://www.wikidata.org/entity/Q367109,Jan Potocki,1761,male,Polish–Lithuanian Commonwealth,Europe,"anthropologist, archaeologist, engineer, historian, writer","aristocrat, history of Europe, literature, travel"
142,http://www.wikidata.org/entity/Q1694191,Karl Spazier,1761,male,Germany,Europe,"composer, pedagogue, philosopher, singer, writer","music, philosophy, theology"
143,http://www.wikidata.org/entity/Q946113,Samuel Elisée Bridel-Brideri,1762,male,Switzerland,Europe,"botanist, librarian, poet, writer","botany, bryology, literature, poetry"
144,http://www.wikidata.org/entity/Q102585,Johann Gottlieb Fichte,1762,male,Germany,Europe,"philosopher, university teacher, writer",philosophy
154,http://www.wikidata.org/entity/Q97151,Lazarus Bendavid,1762,male,Kingdom of Prussia,Europe,"mathematician, philosopher, university teacher","mathematics, philosophy"
158,http://www.wikidata.org/entity/Q458822,Susanna Rowson,1762,female,United States,North America,"geographer, novelist, poet, stage actor, writer",poetry
162,http://www.wikidata.org/entity/Q9369688,Johann Wenzel Hann,1763,male,Austrian Empire,Europe,"aesthetician, philosopher, poet, translator, university teacher","aesthetics, creative and professional writing, philosophy, translating activity"
164,http://www.wikidata.org/entity/Q3180563,Johann Gottlieb Buhle,1763,male,Duchy of Brunswick,Europe,"librarian, philosopher, university teacher",philosophy
165,http://www.wikidata.org/entity/Q77079,Jean Paul,1763,male,Holy Roman Empire,Europe,"novelist, poet, writer","creative and professional writing, libretto, poetry, prose"
