,typesOrg,number,numberOrg
0,university in france,122,1
1,academic publisher | learned society | nonprofit organization,106,3
2,colonial colleges | private not-for-profit educational institution | private university | research university,94,4
3,university,73,1
4,public university,69,1
5,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,59,5
6,comprehensive university | open-access publisher | public research university | university of excellence,55,4
7,faculty,45,1
8,open-access publisher | public university,44,2
9,academy of sciences,42,1
10,private not-for-profit educational institution | private university | research university,41,3
11,comprehensive university | public university,40,2
12,comprehensive university | open-access publisher | public university | university of applied sciences,37,4
13,public educational institution of the united states | public research university,37,2
14,organization,37,1
15,colonial colleges | organization | private not-for-profit educational institution | private university | research university,35,5
16,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,34,5
17,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,34,6
18,open-access publisher | university,33,2
19,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,30,6
20,land-grant university | public educational institution of the united states | public research university | united nations depository library,29,4
21,comprehensive university | public research university | public university | university of excellence,29,4
22,campus university | university,27,2
23,organization | école normale supérieure,27,2
24,academy of sciences | national academy,24,2
25,open-access publisher | university in france,24,2
26,open-access publisher | private not-for-profit educational institution | private university | research university,23,4
27,comprehensive university | open-access publisher | public university,23,3
28,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,23,5
29,former educational institution | university in france,22,2
30,academic publisher | academy of sciences | production company | publisher | publishing company,22,5
31,collegiate university | educational organization | organization | public research university,22,4
32,learned society | national academy,22,2
33,private not-for-profit educational institution | university,21,2
34,comprehensive university | local internet registry | public research university | public university | publisher | publishing company | university of excellence,20,7
35,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,18,6
36,land-grant university | public educational institution of the united states | public research university,18,3
37,comprehensive university | local internet registry | public university,18,3
38,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,17,6
39,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,17,5
40,collection | comprehensive university | public university,16,3
41,former entity | university in france,16,2
42,comprehensive university | local internet registry | organization | public university,16,4
43,organization | public educational institution of the united states | public research university | university | university campus,16,5
44,open-access publisher | organization | public research institution in france | research institute,15,4
45,institute,14,1
46,public university | research institute,14,2
47,geographic location | university,14,2
48,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,14,6
49,educational facility,14,1
50,high school,14,1
51,academy | charitable organization | organization,13,3
52,liberal arts college | private not-for-profit educational institution,13,2
53,imperial university of the russian empire,13,1
54,comprehensive university | organization | public university,12,3
55,comprehensive university | organization | public research university | public university,12,4
56,educational organization | higher education institution | public research university,12,3
57,educational organization | higher education institution | open-access publisher | university,12,4
58,grande école | higher education institution | école normale supérieure,12,3
59,comprehensive university | university,12,2
60,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university,12,5
61,learned society,12,1
62,college of the university of oxford | university building,11,2
63,academy of sciences | publisher | publishing company,11,3
