,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
577,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,academic publisher | learned society | nonprofit organization,publisher,106
114,http://www.wikidata.org/entity/Q13371,Harvard University,colonial colleges | private not-for-profit educational institution | private university | research university,university,88
317,http://www.wikidata.org/entity/Q21578,Princeton University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,university,54
162,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,comprehensive university | open-access publisher | public research university | university of excellence,university,48
177,http://www.wikidata.org/entity/Q154804,Leipzig University,comprehensive university | open-access publisher | public university | university of applied sciences,university,37
600,http://www.wikidata.org/entity/Q49088,Columbia University,colonial colleges | organization | private not-for-profit educational institution | private university | research university,university,35
157,http://www.wikidata.org/entity/Q151510,Heidelberg University,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,university,34
168,http://www.wikidata.org/entity/Q152838,University of Göttingen,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,university,34
107,http://www.wikidata.org/entity/Q131252,University of Chicago,private not-for-profit educational institution | private university | research university,university,33
124,http://www.wikidata.org/entity/Q1394262,Paris Nanterre University,university in france,university,32
905,http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,university in france,university,30
603,http://www.wikidata.org/entity/Q49112,Yale University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,university,30
223,http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",land-grant university | public educational institution of the united states | public research university | united nations depository library,university,29
669,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,comprehensive university | public research university | public university | university of excellence,university,29
213,http://www.wikidata.org/entity/Q165980,University of Vienna,university,university,28
139,http://www.wikidata.org/entity/Q144488,University of Warsaw,campus university | university,university,27
834,http://www.wikidata.org/entity/Q83259,École Normale Supérieure,organization | école normale supérieure,other,27
109,http://www.wikidata.org/entity/Q13164,Moscow State University,public university,university,24
344,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,university,23
667,http://www.wikidata.org/entity/Q546118,Paris-Sorbonne University - Paris IV,former educational institution | university in france,university,22
374,http://www.wikidata.org/entity/Q270794,National Academy of Sciences,academic publisher | academy of sciences | production company | publisher | publishing company,publisher,22
