,typesOrg,orgMainType,number,numberOrg
499,university in france,university,122,1
20,academic publisher | learned society | nonprofit organization,publisher,106,3
155,colonial colleges | private not-for-profit educational institution | private university | research university,university,94,4
498,university,university,73,1
466,public university,university,69,1
14,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,university,59,5
168,comprehensive university | open-access publisher | public research university | university of excellence,university,55,4
230,faculty,other,45,1
408,open-access publisher | public university,university,44,2
29,academy of sciences,learned_society,42,1
440,private not-for-profit educational institution | private university | research university,university,41,3
174,comprehensive university | public university,university,40,2
170,comprehensive university | open-access publisher | public university | university of applied sciences,university,37,4
451,public educational institution of the united states | public research university,university,37,2
416,organization,other,37,1
154,colonial colleges | organization | private not-for-profit educational institution | private university | research university,university,35,5
110,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,university,34,5
167,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,university,34,6
414,open-access publisher | university,university,33,2
13,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,university,30,6
329,land-grant university | public educational institution of the united states | public research university | united nations depository library,university,29,4
173,comprehensive university | public research university | public university | university of excellence,university,29,4
112,campus university | university,university,27,2
427,organization | école normale supérieure,other,27,2
43,academy of sciences | national academy,learned_society,24,2
415,open-access publisher | university in france,university,24,2
395,open-access publisher | private not-for-profit educational institution | private university | research university,university,23,4
169,comprehensive university | open-access publisher | public university,university,23,3
399,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,university,23,5
243,former educational institution | university in france,university,22,2
10,academic publisher | academy of sciences | production company | publisher | publishing company,publisher,22,5
150,collegiate university | educational organization | organization | public research university,university,22,4
339,learned society | national academy,learned_society,22,2
445,private not-for-profit educational institution | university,university,21,2
162,comprehensive university | local internet registry | public research university | public university | publisher | publishing company | university of excellence,university,20,7
148,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,university,18,6
326,land-grant university | public educational institution of the united states | public research university,university,18,3
163,comprehensive university | local internet registry | public university,university,18,3
165,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,university,17,6
325,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,university,17,5
132,collection | comprehensive university | public university,university,16,3
245,former entity | university in france,university,16,2
161,comprehensive university | local internet registry | organization | public university,university,16,4
419,organization | public educational institution of the united states | public research university | university | university campus,university,16,5
387,open-access publisher | organization | public research institution in france | research institute,publisher,15,4
299,institute,research,14,1
467,public university | research institute,university,14,2
251,geographic location | university,university,14,2
18,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,university,14,6
194,educational facility,other,14,1
268,high school,other,14,1
54,academy | charitable organization | organization,learned_society,13,3
349,liberal arts college | private not-for-profit educational institution,other,13,2
293,imperial university of the russian empire,university,13,1
172,comprehensive university | organization | public university,university,12,3
171,comprehensive university | organization | public research university | public university,university,12,4
218,educational organization | higher education institution | public research university,university,12,3
215,educational organization | higher education institution | open-access publisher | university,university,12,4
258,grande école | higher education institution | école normale supérieure,other,12,3
176,comprehensive university | university,university,12,2
321,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university,university,12,5
337,learned society,learned_society,12,1
138,college of the university of oxford | university building,university,11,2
49,academy of sciences | publisher | publishing company,publisher,11,3
34,academy of sciences | book publisher | organization,publisher,11,3
424,organization | research institute,research,11,2
441,private not-for-profit educational institution | private university | research university | workplace,university,10,4
197,educational facility | school building,other,10,2
465,"public scientific, cultural or professional establishment",other,10,1
2,academic department,other,10,1
39,academy of sciences | learned society | national academy,learned_society,10,3
478,research institute | university,university,9,2
187,czech research institution | organization | public university | publisher | publishing company | university,university,9,6
50,academy of sciences | research institute,learned_society,9,2
9,academic publisher | academy of sciences | national academy | quango,publisher,9,4
504,voluntary association,other,9,1
198,educational institution,other,9,1
4,academic institution,other,9,1
274,higher education institution,other,9,1
69,archive | higher education institution | library,other,9,3
12,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,university,8,5
396,open-access publisher | private not-for-profit educational institution | research institute | university,university,8,4
200,educational institution | grand établissement,other,8,2
35,academy of sciences | building,learned_society,8,2
160,comprehensive university | local internet registry | open-access publisher | public university,university,8,4
398,open-access publisher | private not-for-profit educational institution | university,university,8,3
30,academy of sciences and arts,learned_society,8,1
45,academy of sciences | national academy | organization | public body,learned_society,8,4
379,nonprofit organization,other,8,1
221,educational organization | open-access publisher | public university | publisher | publishing company,university,7,5
136,college of the university of cambridge | university building,university,7,2
454,public educational institution of the united states | public university,university,7,2
484,scientific journal,other,7,1
477,research institute,research,7,1
282,higher education institution | public educational institution of the united states,other,7,2
41,academy of sciences | learned society | national academy | open-access publisher | organization | publisher | publishing company,publisher,7,7
23,academic publisher | open-access publisher | public university | research institute,university,7,4
392,open-access publisher | ottoman association | university,university,7,3
238,faculty | philosophy faculty,other,7,2
422,organization | public university,university,7,2
480,school,other,7,1
210,educational institution | state university system,university,6,2
31,academy of sciences | archive | database,learned_society,6,3
114,catholic university,university,6,1
347,liberal arts college in the united states | private not-for-profit educational institution,other,6,2
403,open-access publisher | public educational institution of the united states | public university,university,6,3
406,open-access publisher | public research university | university in quebec,university,6,3
36,academy of sciences | building | national academy | swedish royal academies,learned_society,6,4
