uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q101112434,Amalia Rosenblüth,1892,employment,http://www.wikidata.org/entity/Q165980,University of Vienna,1,university,1881-1910,['university']
http://www.wikidata.org/entity/Q101112434,Amalia Rosenblüth,1892,employment,http://www.wikidata.org/entity/Q219563,University of Washington,1,public university,1881-1910,['public university']
http://www.wikidata.org/entity/Q101112434,Amalia Rosenblüth,1892,education,http://www.wikidata.org/entity/Q165980,University of Vienna,1,university,1881-1910,['university']
http://www.wikidata.org/entity/Q102124431,Theo A. F. Kuipers,1947,education,http://www.wikidata.org/entity/Q850730,University of Groningen,2,organization | public research university,1941-1970,"['organization', 'public research university']"
http://www.wikidata.org/entity/Q102164988,Joseph Silbert Ullian,1930,education,http://www.wikidata.org/entity/Q13371,Harvard University,4,colonial colleges | private not-for-profit educational institution | private university | research university,1911-1940,"['colonial colleges', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q102166958,Michael Hallett,1930,education,http://www.wikidata.org/entity/Q170027,University of London,4,educational organization | higher education institution | open-access publisher | university,1911-1940,"['educational organization', 'higher education institution', 'open-access publisher', 'university']"
http://www.wikidata.org/entity/Q102289020,Oswaldo Chateaubriand,1940,employment,http://www.wikidata.org/entity/Q1857293,Pontifical Catholic University of Rio de Janeiro,6,jesuit university | open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university,1911-1940,"['jesuit university', 'open-access publisher', 'pontifical university', 'private educational institution', 'private not-for-profit educational institution', 'university']"
http://www.wikidata.org/entity/Q102289020,Oswaldo Chateaubriand,1940,education,http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",4,land-grant university | public educational institution of the united states | public research university | united nations depository library,1911-1940,"['land-grant university', 'public educational institution of the united states', 'public research university', 'united nations depository library']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,employment,http://www.wikidata.org/entity/Q41506,Stanford University,4,open-access publisher | private not-for-profit educational institution | private university | research university,1941-1970,"['open-access publisher', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,education,http://www.wikidata.org/entity/Q49119,Brandeis University,3,private not-for-profit educational institution | university | university campus,1941-1970,"['private not-for-profit educational institution', 'university', 'university campus']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,education,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,5,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,1941-1970,"['open-access publisher', 'private university', 'public educational institution of the united states', 'public–private partnership', 'research university']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,employment,http://www.wikidata.org/entity/Q190080,Carnegie Mellon University,3,private not-for-profit educational institution | private university | research university,1941-1970,"['private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,employment,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",5,organization | public educational institution of the united states | public research university | university | university campus,1941-1970,"['organization', 'public educational institution of the united states', 'public research university', 'university', 'university campus']"
http://www.wikidata.org/entity/Q102316377,Thomas Schwartz,1943,employment,http://www.wikidata.org/entity/Q49213,University of Texas at Austin,2,public educational institution of the united states | public research university,1941-1970,"['public educational institution of the united states', 'public research university']"
http://www.wikidata.org/entity/Q102383135,Dorothy Grover,1936,education,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,5,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,1911-1940,"['open-access publisher', 'private university', 'public educational institution of the united states', 'public–private partnership', 'research university']"
http://www.wikidata.org/entity/Q102383135,Dorothy Grover,1936,employment,http://www.wikidata.org/entity/Q955764,University of Illinois at Chicago,3,open-access publisher | public educational institution of the united states | public university,1911-1940,"['open-access publisher', 'public educational institution of the united states', 'public university']"
http://www.wikidata.org/entity/Q102383139,Ruth Manor,1944,education,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,5,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,1941-1970,"['open-access publisher', 'private university', 'public educational institution of the united states', 'public–private partnership', 'research university']"
http://www.wikidata.org/entity/Q10308883,José Arthur Giannotti,1930,employment,http://www.wikidata.org/entity/Q835960,University of São Paulo,4,academic publisher | open-access publisher | public university | research institute,1911-1940,"['academic publisher', 'open-access publisher', 'public university', 'research institute']"
http://www.wikidata.org/entity/Q10308883,José Arthur Giannotti,1930,education,http://www.wikidata.org/entity/Q835960,University of São Paulo,4,academic publisher | open-access publisher | public university | research institute,1911-1940,"['academic publisher', 'open-access publisher', 'public university', 'research institute']"
http://www.wikidata.org/entity/Q104150553,Manley H. Thompson,1917,employment,http://www.wikidata.org/entity/Q131252,University of Chicago,3,private not-for-profit educational institution | private university | research university,1911-1940,"['private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q104150553,Manley H. Thompson,1917,education,http://www.wikidata.org/entity/Q131252,University of Chicago,3,private not-for-profit educational institution | private university | research university,1911-1940,"['private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q104183555,Tadeusz Klimski,1948,employment,http://www.wikidata.org/entity/Q1416331,Cardinal Stefan Wyszyński University in Warsaw,1,catholic university,1941-1970,['catholic university']
http://www.wikidata.org/entity/Q104183555,Tadeusz Klimski,1948,education,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,2,catholic university | university,1941-1970,"['catholic university', 'university']"
http://www.wikidata.org/entity/Q104183555,Tadeusz Klimski,1948,membership,http://www.wikidata.org/entity/Q1003,Solidarity,2,labor union | organization,1941-1970,"['labor union', 'organization']"
http://www.wikidata.org/entity/Q104183555,Tadeusz Klimski,1948,membership,http://www.wikidata.org/entity/Q3091943,International Federation of Catholic Universities,3,federation | international association of the faithful | organization,1941-1970,"['federation', 'international association of the faithful', 'organization']"
http://www.wikidata.org/entity/Q104243,Alwin Diemer,1920,education,http://www.wikidata.org/entity/Q161982,Johannes Gutenberg University Mainz,4,comprehensive university | local internet registry | open-access publisher | public university,1911-1940,"['comprehensive university', 'local internet registry', 'open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q104243,Alwin Diemer,1920,employment,http://www.wikidata.org/entity/Q317032,University of Düsseldorf,2,comprehensive university | public university,1911-1940,"['comprehensive university', 'public university']"
http://www.wikidata.org/entity/Q104261,Walter Dubislav,1895,education,http://www.wikidata.org/entity/Q51985,Technische Universität Berlin,3,institute of technology | public research university | university of excellence,1881-1910,"['institute of technology', 'public research university', 'university of excellence']"
http://www.wikidata.org/entity/Q104261,Walter Dubislav,1895,education,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,4,comprehensive university | open-access publisher | public research university | university of excellence,1881-1910,"['comprehensive university', 'open-access publisher', 'public research university', 'university of excellence']"
http://www.wikidata.org/entity/Q104261,Walter Dubislav,1895,employment,http://www.wikidata.org/entity/Q124354,Bauhaus,4,architectural style | art movement | arts educational institution | institution,1881-1910,"['architectural style', 'art movement', 'arts educational institution', 'institution']"
