p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,51955
http://www.wikidata.org/prop/direct/P1343,described by source,18956
http://www.wikidata.org/prop/direct/P101,field of work,17660
http://www.wikidata.org/prop/direct/P569,date of birth,15431
http://www.wikidata.org/prop/direct/P735,given name,15210
http://www.wikidata.org/prop/direct/P27,country of citizenship,14986
http://www.wikidata.org/prop/direct/P570,date of death,14819
http://www.wikidata.org/prop/direct/P31,instance of,14490
http://www.wikidata.org/prop/direct/P21,sex or gender,14429
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,14236
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",13762
http://www.wikidata.org/prop/direct/P213,ISNI,12478
http://www.wikidata.org/prop/direct/P19,place of birth,12144
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,10718
http://www.wikidata.org/prop/direct/P734,family name,10668
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,10619
http://www.wikidata.org/prop/direct/P20,place of death,10542
http://www.wikidata.org/prop/direct/P227,GND ID,10351
http://www.wikidata.org/prop/direct/P269,IdRef ID,8862
http://www.wikidata.org/prop/direct/P648,Open Library ID,8712
http://www.wikidata.org/prop/direct/P691,NL CR AUT ID,8640
http://www.wikidata.org/prop/direct/P69,educated at,8350
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,8282
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,7873
http://www.wikidata.org/prop/direct/P8189,J9U ID,7250
http://www.wikidata.org/prop/direct/P18,image,7231
http://www.wikidata.org/prop/direct/P2163,FAST ID,7002
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,6907
http://www.wikidata.org/prop/direct/P373,Commons category,6584
http://www.wikidata.org/prop/direct/P166,award received,6306
http://www.wikidata.org/prop/direct/P646,Freebase ID,6285
http://www.wikidata.org/prop/direct/P7293,National Library of Poland Descriptor,6046
